feed_url,podcast_title,episode_guid,episode_title,mp3_url,published_date_iso,podcast_slug
https://thetwentyminutevc.libsyn.com/rss,The Twenty Minute VC (20VC): Venture Capital | Startup Funding | The Pitch,296d0e1d-6ff1-4e31-9177-02fb33a79d2f,20VC: The Most Insane Story in Startups: Airwallex: The Angel That Turned $1M into $1BN | The Fund That Pulled a Term Sheet & Lost $1BN | Rejecting Stripe's $1.2BN Offer | Scaling to $1BN in Revenue & 100% YoY Growth for 8 Years with Jack Zhang,https://traffic.libsyn.com/secure/thetwentyminutevc/Jack_Zhang__Airwallex.mp3?dest-id=240976,2025-05-26T07:07:00,the-twenty-minute-vc-20vc-venture-capital-startup-funding-the-pitch
https://thetwentyminutevc.libsyn.com/rss,The Twenty Minute VC (20VC): Venture Capital | Startup Funding | The Pitch,d5d84440-eb8e-4d9c-a108-116c1a1f48a1,"20VC: ElevenLabs Head of Growth on Why You Do Not Need PMs | The 7-Part Launch Playbook That Gets 700K+ Views Per Product | The Truth About CAC, Payback & Performance Marketing in AI with Luke Harries",https://traffic.libsyn.com/secure/thetwentyminutevc/Luke_Harries__ElevenLabs.mp3?dest-id=240976,2025-05-23T07:07:00,the-twenty-minute-vc-20vc-venture-capital-startup-funding-the-pitch
https://thetwentyminutevc.libsyn.com/rss,The Twenty Minute VC (20VC): Venture Capital | Startup Funding | The Pitch,4b0207d1-8b6b-4874-a808-aa9168eb0e69,20VC: Chime IPO: The Breakdown | Why Fund Returners Are Not Enough & Seed is for Suckers | Are IPOs Dead & The Future of the Late Stage Private Market | Rippling vs. Deel Lawsuit: WTF Happens Now?,https://traffic.libsyn.com/secure/thetwentyminutevc/The_Trio_FINAL_EP06.mp3?dest-id=240976,2025-05-22T07:07:00,the-twenty-minute-vc-20vc-venture-capital-startup-funding-the-pitch
https://thetwentyminutevc.libsyn.com/rss,The Twenty Minute VC (20VC): Venture Capital | Startup Funding | The Pitch,0b1e9e00-9377-4165-afd7-64dd87d29468,20VC: Duolingo Co-Founder on Why $3M is Harder than $100M to Raise | Why You Should Always Take Tier 1 VCs Even at Worse Terms | Why Europe Can't Win Unless the US Screws Up | How AI Impacts the Future of Work and Education with Severin Hacker,https://traffic.libsyn.com/secure/thetwentyminutevc/20VC-_Severin_Hacker__Duolingo.mp3?dest-id=240976,2025-05-19T07:07:00,the-twenty-minute-vc-20vc-venture-capital-startup-funding-the-pitch
https://thetwentyminutevc.libsyn.com/rss,The Twenty Minute VC (20VC): Venture Capital | Startup Funding | The Pitch,3b1562ad-0772-46e0-aab2-21aa289c4c57,"20Product: Figma CPO on How Figma Builds Products: What Works, What Does Not | How Figma Does Testing and Product Reviews | The Future of Design, Engineering and Product with Yuhki Yamashita",https://traffic.libsyn.com/secure/thetwentyminutevc/Yuhki_Yamashita__Figma.mp3?dest-id=240976,2025-05-16T07:07:00,the-twenty-minute-vc-20vc-venture-capital-startup-funding-the-pitch
https://thetwentyminutevc.libsyn.com/rss,The Twenty Minute VC (20VC): Venture Capital | Startup Funding | The Pitch,d8d0ea45-0536-41b9-aeff-cb2998c488f8,20VC: Tiger Global Saved by OpenAI | Coatue's New Fund: Hype or Substance | Why SBF is the Greatest Investor of the Last 5 Years | Why Big Funds are Investing in Perplexity,https://traffic.libsyn.com/secure/thetwentyminutevc/The_Trio_EP05__Jason_Rory_Harry.mp3?dest-id=240976,2025-05-15T07:07:00,the-twenty-minute-vc-20vc-venture-capital-startup-funding-the-pitch
https://thetwentyminutevc.libsyn.com/rss,The Twenty Minute VC (20VC): Venture Capital | Startup Funding | The Pitch,8d01cd86-1462-4691-928d-3d16f9a5c1c9,20VC Exclusive: Mercury Founder Launches First $26M Fund | Why Founders Should Take the Highest Price | Why Serial Entrepreneurs are Better | Why AI Is So Overhyped | The Future of Venture Capital with Immad Akhund,https://traffic.libsyn.com/secure/thetwentyminutevc/20VC-_Immad_Akhund_Founder__Mercury.mp3?dest-id=240976,2025-05-12T07:07:00,the-twenty-minute-vc-20vc-venture-capital-startup-funding-the-pitch
https://thetwentyminutevc.libsyn.com/rss,The Twenty Minute VC (20VC): Venture Capital | Startup Funding | The Pitch,c91ce4bc-1735-417a-a3e8-25c9c964c65e,20VC: Four Traits of the Most Successful Founders | How to Hunt and Close Talent Like a Pro and Where All Founders Go Wrong | Lessons Raising $397M From the Best Investors in the World with Eléonore Crespo @ Pigment,https://traffic.libsyn.com/secure/thetwentyminutevc/Eleonore_Crespo__Pigment.mp3?dest-id=240976,2025-05-09T11:28:00,the-twenty-minute-vc-20vc-venture-capital-startup-funding-the-pitch
https://thetwentyminutevc.libsyn.com/rss,The Twenty Minute VC (20VC): Venture Capital | Startup Funding | The Pitch,557213a4-3c4e-4f7b-888b-b1e1de54d6c6,20VC: Benchmark vs a16z: Why Stage Specific Firms Win | Windsurf Sells For $3BN | Decagon Raises at 100x ARR | Do Mega Funds Win the Future of VC | What Does Harvard's Losing Their For-Profit Status Mean for VC,https://traffic.libsyn.com/secure/thetwentyminutevc/The_Trio_EP04-_Mega_Funds_Windsurf_Ai_Future.mp3?dest-id=240976,2025-05-07T07:07:00,the-twenty-minute-vc-20vc-venture-capital-startup-funding-the-pitch
https://thetwentyminutevc.libsyn.com/rss,The Twenty Minute VC (20VC): Venture Capital | Startup Funding | The Pitch,b1a67d3f-50db-4a8e-abcb-666b423c074e,20VC Exclusive: Why Mega Platforms Will Win in VC | Why You Cannot Do VC If You Do Not Do Pre-Seed | Why Market Sizing is BS | Where Will Foundation Models Build/Buy Apps vs Where Will They Not with Bucky Moore,https://traffic.libsyn.com/secure/thetwentyminutevc/20VC-_Bucky_Moore_General_Partner__Lightspeed_Venture_Partners.mp3?dest-id=240976,2025-05-05T13:10:00,the-twenty-minute-vc-20vc-venture-capital-startup-funding-the-pitch
